unique_id,code_snippet,programming_language,comment_english,target_language_code,comment_target_lang,comment_intent,source_url,comment_english_processed,comment_target_lang_processed,code_snippet_processed
XLCoST_1,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",en,"Prints Hello, world! to the console.",Functionality,XLCoST_Dataset,prints hello world to the console,prints hello world to the console,"def hello_world():
    print(<STR>)"
XLCoST_2,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",en,"Main method that prints Hello, world! in Java.",Functionality,XLCoST_Dataset,main method that prints hello world in java,main method that prints hello world in java,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
XLCoST_1_TRANSLATED_hi,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",hi,"हैलो, दुनिया प्रिंट!कंसोल के लिए।",Translated,XLCoST_Dataset,prints hello world to the console,हल दनय परटकसल क लए,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_ta,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",ta,"ஹலோ, உலகம்!கன்சோலுக்கு.",Translated,XLCoST_Dataset,prints hello world to the console,ஹல உலகமகனசலகக,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_te,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",te,"ప్రింట్లు హలో, ప్రపంచం!కన్సోల్‌కు.",Translated,XLCoST_Dataset,prints hello world to the console,పరటల హల పరపచకనసలక,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_kn,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",kn,"ಹಲೋ, ವಿಶ್ವ!ಕನ್ಸೋಲ್‌ಗೆ.",Translated,XLCoST_Dataset,prints hello world to the console,ಹಲ ವಶವಕನಸಲಗ,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_ml,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",ml,"ഹലോ, വേൾഡ്!കൺസോളിലേക്ക്.",Translated,XLCoST_Dataset,prints hello world to the console,ഹല വൾഡകൺസളലകക,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_fr,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",fr,"Imprime bonjour, monde!à la console.",Translated,XLCoST_Dataset,prints hello world to the console,imprime bonjour mondeà la console,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_de,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",de,"Drucke Hallo, Welt!zur Konsole.",Translated,XLCoST_Dataset,prints hello world to the console,drucke hallo weltzur konsole,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_it,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",it,"Stampa ciao, mondo!alla console.",Translated,XLCoST_Dataset,prints hello world to the console,stampa ciao mondoalla console,"def hello_world():
    print(<STR>)"
XLCoST_1_TRANSLATED_es,"def hello_world():
    print('Hello, world!')",Python,"Prints Hello, world! to the console.",es,"Imprime hola, mundo!a la consola.",Translated,XLCoST_Dataset,prints hello world to the console,imprime hola mundoa la consola,"def hello_world():
    print(<STR>)"
XLCoST_2_TRANSLATED_hi,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",hi,"मुख्य विधि जो हैलो, दुनिया को प्रिंट करती है!जावा में।",Translated,XLCoST_Dataset,main method that prints hello world in java,मखय वध ज हल दनय क परट करत हजव म,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
XLCoST_2_TRANSLATED_ta,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",ta,"ஹலோ, உலகத்தை அச்சிடும் முக்கிய முறை!ஜாவாவில்.",Translated,XLCoST_Dataset,main method that prints hello world in java,ஹல உலகதத அசசடம மககய மறஜவவல,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
XLCoST_2_TRANSLATED_te,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",te,"హలో, ప్రపంచాన్ని ముద్రించే ప్రధాన పద్ధతి!జావాలో.",Translated,XLCoST_Dataset,main method that prints hello world in java,హల పరపచనన మదరచ పరధన పదధతజవల,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
XLCoST_2_TRANSLATED_kn,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",kn,"ಹಲೋ, ಜಗತ್ತು ಮುದ್ರಿಸುವ ಮುಖ್ಯ ವಿಧಾನ!ಜಾವಾದಲ್ಲಿ.",Translated,XLCoST_Dataset,main method that prints hello world in java,ಹಲ ಜಗತತ ಮದರಸವ ಮಖಯ ವಧನಜವದಲಲ,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
XLCoST_2_TRANSLATED_ml,"public static void main(String[] args) {
    System.out.println(""Hello, world!"");
}",Java,"Main method that prints Hello, world! in Java.",ml,"ഹലോ, ലോകം!ജാവയിൽ.",Translated,XLCoST_Dataset,main method that prints hello world in java,ഹല ലകജവയൽ,"public static void main(String[] args) {
    System.out.println(<STR>);
}"
